Continent,Pays,Ville,Mois,Jour,Annee,Temp
Europe,Norway,Oslo,1,1,2018,32.1
Europe,Norway,Oslo,1,2,2018,28.5
Europe,Norway,Oslo,1,3,2018,26.1
Europe,Norway,Oslo,1,4,2018,30.2
Europe,Norway,Oslo,1,5,2018,25.0
Europe,Norway,Oslo,1,6,2018,20.7
Europe,Norway,Oslo,1,7,2018,16.1
Europe,Norway,Oslo,1,8,2018,17.4
Europe,Norway,Oslo,1,9,2018,11.6
Europe,Norway,Oslo,1,10,2018,13.8
Europe,Norway,Oslo,1,11,2018,23.6
Europe,Norway,Oslo,1,12,2018,22.3
Europe,Norway,Oslo,1,13,2018,24.0
Europe,Norway,Oslo,1,14,2018,23.6
Europe,Norway,Oslo,1,15,2018,26.1
Europe,Norway,Oslo,1,16,2018,30.4
Europe,Norway,Oslo,1,17,2018,29.7
Europe,Norway,Oslo,1,18,2018,24.1
Europe,Norway,Oslo,1,19,2018,24.0
Europe,Norway,Oslo,1,20,2018,25.1
Europe,Norway,Oslo,1,21,2018,22.6
Europe,Norway,Oslo,1,22,2018,20.0
Europe,Norway,Oslo,1,23,2018,26.6
Europe,Norway,Oslo,1,24,2018,34.9
Europe,Norway,Oslo,1,25,2018,36.1
Europe,Norway,Oslo,1,26,2018,28.3
Europe,Norway,Oslo,1,27,2018,16.1
Europe,Norway,Oslo,1,28,2018,28.0
Europe,Norway,Oslo,1,29,2018,24.3
Europe,Norway,Oslo,1,30,2018,15.2
Europe,Norway,Oslo,1,31,2018,29.2
Europe,Norway,Oslo,2,1,2018,30.6
Europe,Norway,Oslo,2,2,2018,16.7
Europe,Norway,Oslo,2,3,2018,14.3
Europe,Norway,Oslo,2,4,2018,9.8
Europe,Norway,Oslo,2,5,2018,10.5
Europe,Norway,Oslo,2,6,2018,17.6
Europe,Norway,Oslo,2,7,2018,15.8
Europe,Norway,Oslo,2,8,2018,17.2
Europe,Norway,Oslo,2,9,2018,29.5
Europe,Norway,Oslo,2,10,2018,26.6
Europe,Norway,Oslo,2,11,2018,26.3
Europe,Norway,Oslo,2,12,2018,27.8
Europe,Norway,Oslo,2,13,2018,21.7
Europe,Norway,Oslo,2,14,2018,29.8
Europe,Norway,Oslo,2,15,2018,29.2
Europe,Norway,Oslo,2,16,2018,27.4
Europe,Norway,Oslo,2,17,2018,19.5
Europe,Norway,Oslo,2,18,2018,25.2
Europe,Norway,Oslo,2,19,2018,26.6
Europe,Norway,Oslo,2,20,2018,21.2
Europe,Norway,Oslo,2,21,2018,20.9
Europe,Norway,Oslo,2,22,2018,18.0
Europe,Norway,Oslo,2,23,2018,18.3
Europe,Norway,Oslo,2,24,2018,21.6
Europe,Norway,Oslo,2,25,2018,15.5
Europe,Norway,Oslo,2,26,2018,8.0
Europe,Norway,Oslo,2,27,2018,11.8
Europe,Norway,Oslo,2,28,2018,7.2
Europe,Norway,Oslo,3,1,2018,5.6
Europe,Norway,Oslo,3,2,2018,12.2
Europe,Norway,Oslo,3,3,2018,17.3
Europe,Norway,Oslo,3,4,2018,20.1
Europe,Norway,Oslo,3,5,2018,19.8
Europe,Norway,Oslo,3,6,2018,21.3
Europe,Norway,Oslo,3,7,2018,26.3
Europe,Norway,Oslo,3,8,2018,25.9
Europe,Norway,Oslo,3,9,2018,22.9
Europe,Norway,Oslo,3,10,2018,19.9
Europe,Norway,Oslo,3,11,2018,23.4
Europe,Norway,Oslo,3,12,2018,28.4
Europe,Norway,Oslo,3,13,2018,30.2
Europe,Norway,Oslo,3,14,2018,24.2
Europe,Norway,Oslo,3,15,2018,22.5
Europe,Norway,Oslo,3,16,2018,12.8
Europe,Norway,Oslo,3,17,2018,11.8
Europe,Norway,Oslo,3,18,2018,13.4
Europe,Norway,Oslo,3,19,2018,27.8
Europe,Norway,Oslo,3,20,2018,33.0
Europe,Norway,Oslo,3,21,2018,32.0
Europe,Norway,Oslo,3,22,2018,32.3
Europe,Norway,Oslo,3,23,2018,29.6
Europe,Norway,Oslo,3,24,2018,35.2
Europe,Norway,Oslo,3,25,2018,36.7
Europe,Norway,Oslo,3,26,2018,27.4
Europe,Norway,Oslo,3,27,2018,20.6
Europe,Norway,Oslo,3,28,2018,20.4
Europe,Norway,Oslo,3,29,2018,22.4
Europe,Norway,Oslo,3,30,2018,23.3
Europe,Norway,Oslo,3,31,2018,23.9
Europe,Norway,Oslo,4,1,2018,25.6
Europe,Norway,Oslo,4,2,2018,26.2
Europe,Norway,Oslo,4,3,2018,26.3
